Buffer,dwt2d-1,dwt2d-2,sha256+xor1,sha512+xor2,aes_encrypt,_se_encrypt
128,0.4532942849999999,0.23000079800000006,0.009264328,0.013195820999999998,0.017773509999999985,0.7481034399999998
256,0.242271249,0.11300067799999998,0.004965594,0.010475201999999998,0.007350491999999999,0.38992894499999997
384,0.17578599499999997,0.077519429,0.0037075139999999994,0.010140086999999999,0.004781204999999999,0.282157044
512,0.15966317600000002,0.067320042,0.003589553,0.010718973000000001,0.004128693,0.263568012
640,0.142065723,0.055553099999999994,0.0033255560000000003,0.010906785,0.003682016,0.22579050799999997
768,0.120845443,0.048582066,0.002994096,0.010815139,0.0032255569999999996,0.201845331
896,0.111718194,0.042641468,0.003124241,0.011357335,0.0028786519999999998,0.18295834
1024,0.174916764,0.056618013999999994,0.004034342999999999,0.015570083,0.003599404,0.284146521
1152,0.106847525,0.042246713000000005,0.003433833,0.012450286000000001,0.002902949,0.182589234
1280,0.128051918,0.050821820000000004,0.0044843750000000005,0.015093923,0.003628219,0.22591121
1408,0.146738172,0.05610363,0.0050155930000000005,0.017705226,0.004155657,0.25317398
1536,0.088088792,0.03300052,0.002968578,0.011062783,0.002416843,0.157775066
1664,0.096612362,0.035697415,0.003743736,0.012182549,0.00278784,0.168017822
1792,0.105434023,0.040859987,0.004257433,0.014297822,0.003215872,0.191495078
1920,0.117649627,0.044365966,0.004932926,0.015947543,0.003671793,0.210835046
2048,0.209717799,0.076847232,0.00585586,0.017984853999999998,0.004200731,0.367634586
2176,0.141674283,0.053015054,0.00602197,0.0204834,0.004718003,0.257680355
2304,0.156733133,0.060939633,0.007217919,0.022940112999999998,0.005344274,0.293652601
2432,0.167562327,0.063890488,0.007988817,0.025427085000000002,0.005776399,0.311620306
2560,0.311668898,0.072633742,0.00879792,0.028303702,0.006426094,0.485987983
2688,0.197937246,0.072820129,0.009663688,0.030275513,0.007101402,0.369944616
2816,0.241056689,0.08341914,0.010500826,0.033516087,0.007897041,0.439091472
2944,0.233668216,0.083961875,0.010927655,0.037068066,0.008677422,0.439503504
3072,0.445322068,0.114450144,0.012367954,0.040076218,0.009341396,0.709551313
3200,0.270552192,0.096807101,0.013435868,0.04522129,0.010581289,0.513369065
3328,0.383626963,0.111006775,0.013887232999999999,0.047009528999999994,0.011065765,0.656813126
3456,0.322249873,0.108858077,0.015501696,0.050718229000000004,0.01192794,0.599568322
3584,0.569766712,0.1260122,0.016773017,0.053684122,0.012991799,0.894319336
3712,0.485479045,0.122902254,0.018024947,0.05763778,0.013728272,0.803115672
3840,0.666187501,0.137381906,0.019140341,0.061425978,0.014605522,1.018869108
3968,0.667406525,0.136105494,0.020258995000000002,0.069481036,0.015598306,1.031439819
4096,0.707661852,0.313282288,0.021480240999999997,0.07260159399999999,0.01708779,1.571939302
4224,0.816003342,0.149990876,0.022676154,0.076221368,0.017927596,1.221821408
4352,0.841117968,0.167594882,0.024399079000000004,0.08117081300000001,0.018722494,1.288912915
4480,0.861803958,0.16632273,0.025582139000000004,0.083680174,0.019878333,1.313612194
4608,0.918287362,0.187254514,0.027137641,0.088709673,0.020993727,1.441965664
4736,0.899763607,0.18163991,0.028466496,0.093661784,0.024889351,1.403505669
4864,1.013123911,0.201259949,0.03018692,0.09948673599999999,0.023075889,1.563513301
4992,0.90386745,0.196017304,0.031947883,0.104841456,0.024071693,1.455510919
5120,1.495230084,0.481940769,0.033238183,0.11160141600000001,0.025911154,2.718527567
5248,0.853732789,0.213311721,0.035176827,0.116779914,0.026977253,1.458295665
5376,1.205973047,0.238430477,0.035911209,0.120235024,0.027967946,1.862278917
5504,0.719776919,0.231399649,0.037348193,0.125910349,0.029511596,1.376365675
5632,1.348770687,0.304196555,0.038963471,0.131881412,0.030827803,2.136985635
5760,0.803228594,0.250494582,0.041763143,0.13727625899999998,0.031934698,1.521316902
5888,1.469032358,0.289401517,0.043588380999999995,0.14432930900000002,0.033424292,2.259590761
6016,0.88244904,0.281108814,0.045264733,0.150021024,0.03537366,1.672876351
6144,1.533942241,0.739179126,0.049764869,0.158252708,0.036387388,3.405309627
6272,0.988849125,0.304649494,0.050420509,0.167930414,0.037690763,1.854268651
6400,1.691378679,0.335411353,0.052168101,0.174505211,0.03923232,2.6227813
6528,1.141959132,0.320852646,0.05635346100000001,0.183594554,0.040915319,2.07802244
6656,1.8167812,0.531284399,0.058539472999999995,0.190545438,0.042841297,3.086028441
6784,1.293268046,0.35313808,0.060056939,0.19908963999999998,0.044401762,2.309623992
6912,1.981031062,0.411334002,0.059823349,0.208096206,0.045612415,3.101625858
7040,1.774507116,0.403701273,0.062129711,0.216193559,0.047412839,2.884494697
7168,2.838506526,0.939335159,0.06437765,0.227162103,0.049001636,5.33699101
7296,2.15006948,0.42116691,0.06602563,0.234527076,0.050716894,3.333125871
7424,2.241342216,0.715351298,0.068756285,0.242764409,0.052249525,3.770939019
7552,2.403922615,0.535529036,0.071138554,0.242188952,0.054067098,3.747952312
7680,2.413780726,1.051932136,0.073755006,0.250851206,0.055757135,4.533526321
7808,2.695640047,0.669549644,0.07617159100000001,0.25384297,0.057836204,4.226063932
7936,2.727782038,1.065942127,0.082258745,0.258673304,0.059874255,4.724446788
8064,3.328897114,0.843730932,0.084057612,0.27025004399999997,0.061771882,5.093593074
8192,3.461293016,1.191962157,0.085555671,0.277670702,0.064077818,7.32545733
