Buffer,_se_encrypt,encrypt
128,0.35761839100000026,0.430838439
256,0.23422690000000002,0.621453153
384,0.22321002099999998,0.586293954
512,0.22592691399999998,0.577276755
640,0.201067033,0.55080489
768,0.20665743700000003,0.590973729
896,0.205155343,0.658157768
1024,0.33952567599999994,0.711986819
1152,0.2140464,0.597518617
1280,0.2293933,0.642834034
1408,0.228872525,0.628403412
1536,0.353347631,0.748097773
1664,0.27671362099999997,0.715681006
1792,0.290109429,0.707858557
1920,0.334430057,0.776163181
2048,0.9029404000000001,1.42760394
2176,0.32525425399999996,0.722943976
2304,0.515957841,0.952255924
2432,0.45024891899999997,0.944580272
2560,0.6972666489999999,1.21677493
2688,0.778970994,1.350953346
2816,0.941640649,1.579417273
2944,0.508806075,0.912444688
3072,0.685764895,1.074912995
3200,0.638143376,0.717907865
3328,0.661335658,1.563496315
3456,0.709118306,0.799424707
3584,0.814276911,1.345313599
3712,0.893245829,1.442439228
3840,0.938581893,1.558242869
3968,1.098940797,1.680439286
4096,1.40081379,2.179781802
4224,1.292886942,2.087182959
4352,1.340268631,2.183119353
4480,1.452969358,2.372026636
4608,1.60110977,2.188006335
4736,1.686997189,2.110391813
4864,1.74762366,2.165648532
4992,1.954466895,2.389859713
5120,2.080452201,2.585322268
5248,2.25916865,2.763713067
5376,2.331545659,2.876589736
5504,2.522121008,3.060844772
5632,2.603839587,3.160181337
5760,2.755481049,3.176505106
5888,2.912449353,3.541384245
6016,3.146368039,3.838223844
6144,3.226296194,3.903911178
6272,3.406708234,4.133375051
6400,3.453735247,4.177789113
6528,3.818697503,4.635732258
6656,3.902114076,4.712897753
6784,4.162837987,4.979673429
6912,4.334355784,5.184015104
7040,4.547498953,5.346842698
7168,4.607984738,5.543689236
7296,4.934446722,5.924470477
7424,5.009269881,6.014019088
7552,5.335832318,6.374080394
7680,5.479807199,6.563881177
7808,5.779088055,6.879924976
7936,5.927681354,7.065499989
8064,6.249893617,7.439448703
8192,6.365140742,7.600362657
