Buffer,_se_encrypt,encrypt
128,47.989655857999885,48.732138261
256,24.032177101,24.257987816
384,17.056374515000027,17.229156166
512,14.995550152000012,15.164912058
640,12.447848934999987,12.614461715
768,11.502887118,11.665882822
896,10.230515665999997,10.384415021
1024,12.202765088999998,12.353046964
1152,9.427083054000004,9.569117716
1280,9.279194429999999,9.418841866
1408,8.639794462000005,8.779056311
1536,9.45434334,9.593337186
1664,8.196566738000001,8.33314012
1792,8.365913902000003,8.500970093
1920,7.964294440000001,8.100587523
2048,12.324992149999998,12.468490408
2176,7.727326734000001,7.864326092
2304,8.27807701,8.414957295
2432,7.447669785999999,7.582620797
2560,10.270598153000002,10.408918189
2688,7.353993270999999,7.48677405
2816,7.591101991,7.724079766
2944,7.036999527999999,7.168692262
3072,10.818510528,10.95407732
3200,7.328621011999999,7.46962938
3328,8.975265629,9.124578714
3456,7.742745101,7.889188381
3584,10.104607592,10.250510713
3712,8.746766342,8.893766455
3840,10.387992797999999,10.543551735
3968,10.097316828,10.249869331
4096,14.501492811000002,14.661413282
4224,10.458161051000001,10.614831387
4352,10.613113393999999,10.779442603
4480,10.235767325,10.397562542
4608,10.502953458999999,10.665898815
4736,8.606866006,8.760044661
4864,9.593139042,9.74750989
4992,9.258536798000002,9.422554257
5120,15.798540448999999,15.970839698
5248,8.010238507,8.162131717
5376,9.859828446,10.022222481
5504,8.22391662,8.390617595
5632,11.204418963999998,11.379041586
5760,9.557521718,9.781374142
5888,9.754857079,9.974030772
6016,8.014201415,8.243128496
6144,14.270082829,14.50974592
6272,8.723485115999999,8.965135302
6400,11.212127628,11.463534943
6528,9.766361328,10.097864113
6656,13.125117654,13.399314863
6784,7.909219822,8.363659781
6912,9.901789548,10.353855716
7040,9.282713334,9.743917439
7168,16.569451657,17.040626092
7296,11.129548455,11.613421217
7424,12.442538748,12.932981802
7552,12.328979235,12.830265744
7680,14.960563635,15.352375641
7808,13.973259808000002,14.57284668
7936,15.619277743,16.238954186
8064,15.904595858999999,16.525586998
8192,22.700303621,23.366092948
